0.5, 99.06319227681381
0.75, 99.05227356554632
1, 98.24523464536594
1.25, 97.09568551486859
1.5, 89.9979486903048
1.75, 83.42090025868703
2, 76.76526693984819
2.25, 70.28486315648577
2.5, 67.06980547605141
2.75, 67.01893706829736
3, 67.06632296111815
3.25, 67.06822666203671
3.5, 65.89851486575823
3.75, 63.82919229941851
4, 54.49948016966155
4.25, 48.14643044499164
4.5, 48.06340362458164
4.75, 48.02520309579664
5, 48.06678900367913
5.25, 47.963960894223575
5.5, 47.965939404702766
5.75, 47.93133332538291
6, 44.055598014670565
6.25, 44.055598016072764
6.5, 43.93841452267995
6.75, 40.505406538103955
6.999999999999999, 35.78553069109404
7.249999999999999, 35.78170859840006
7.499999999999999, 35.78830970764595
7.749999999999999, 35.73917353989948
7.999999999999999, 35.73293409239433
8.25, 25.734029827145207
8.5, 20.521521312833784
8.75, 20.52152554928925
9, 14.014993062641878
9.25, 14.09304433206347
9.5, 14.090350375983604
9.75, 14.045516044905554
10, 14.05535281187045
