"final.rho","init.rho","outliers","eob.p","gof.p"
0.0800000000000001,0.0800000000000001,0,3.56287916432696e-05,0.435713861493659
0,0,0,6.71897379998616e-11,6.71897379998616e-11
0,0,1,0.292867551881154,0.292867551881154
0,0,0,0.0372105296694402,0.0372105296694402
0,0,1,0.827842905503921,0.827842905503921
0.01,0.01,0,0.42099480582445,0.559141918928542
0.13,0.13,0,8.66806672751358e-07,0.270675707450352
0,0,1,0.0637404889529665,0.0637404889529665
0.0800000000000001,0.1,1,5.47384243456862e-06,0.132197880093195
-0.03,-0.03,0,0.0568525120309847,0.00752044436410065
-0.14,-0.14,0,1.51193755002705e-06,0.69147673174959
0,0,0,0.000107199213925436,0.000107199213925436
-0.04,-0.04,0,0.652599395187881,0.240560498984959
0,0,0,0.0582765079743134,0.0582765079743134
0.14,0.14,0,2.1878950313678e-09,0.391831994564736
0.21,0.21,0,6.04090563873551e-11,0.128653150784641
NA
NA
NA
0.1,0.1,0,5.75864355803074e-06,0.701924798523516
0.0700000000000001,0.0700000000000001,0,0.0422235960655373,0.568823956234575
0.0600000000000001,0.0600000000000001,0,0.000218592654535867,0.0668262673944276
0,0,1,0.0057086178232519,0.0057086178232519
